H,frac_between,pooled_r2,within_r2,within_fit_r2,seasnaive_within_r2,stride_r2
1,0.4945270316326983,0.7328540699076128,0.4881520408080873,0.4437477396093492,0.20314925909042358,0.7328540699076128
2,0.5888760017798459,0.8268279087343584,0.607651564998946,0.5011202573665514,0.4699506163597107,0.812621015787822
3,0.651963878524713,0.871544187219349,0.6684734207743835,0.5068796542924587,0.5672106742858887,0.8756035028608977
4,0.6998006522425739,0.8901214149070661,0.6756370148007871,0.4694000013141698,0.5894656777381897,0.8785499780926127
6,0.7937423366735388,0.9094248367839219,0.6304145407461004,0.30525170578482197,0.5649274587631226,0.8950097275513043
