H,lag1_ac,n_test,SeasNaive,TrailPers,CountyClim,Ridge,ridge_rmse,ridge_within_r2,n_train_windows,n_val_windows,n_test_windows
1,0.727739992458046,38414,0.59421605,0.45139128,0.4377722,0.7328701294359358,0.5373894724656882,0.48819526359444043,168,36,36
2,0.6788905966957032,37312,0.7775486,0.4238428,0.5114339,0.8268763716989709,0.40018974641593136,0.6077283987638484,167,35,35
3,0.5799932824843489,36210,0.84346926,0.30300826,0.5605172,0.8715983922372811,0.3296968891390284,0.6685286761307241,166,34,34
4,0.5075688299896746,35108,0.8696581,0.15788949,0.59734464,0.8902037929098773,0.29605109597259205,0.6757534316548198,165,33,33
6,0.6325333795146686,32948,0.90007335,0.2046979,0.67385936,0.9095533420314499,0.2537193505304715,0.6305428414814267,163,31,31
12,0.9483616777291062,26483,0.9346146,0.9346146,0.8401817,0.9419216826786545,0.18225960764907612,-0.7040173092336071,157,25,25
