u,v,u_adcode,v_adcode,u_reach,v_reach,u_prov,v_prov,cross_reach,cross_province
0,10,310101,310115,downstream,downstream,Shanghai,Shanghai,False,False
0,1,310101,310104,downstream,downstream,Shanghai,Shanghai,False,False
0,3,310101,310106,downstream,downstream,Shanghai,Shanghai,False,False
0,5,310101,310109,downstream,downstream,Shanghai,Shanghai,False,False
1,7,310104,310112,downstream,downstream,Shanghai,Shanghai,False,False
1,10,310104,310115,downstream,downstream,Shanghai,Shanghai,False,False
1,2,310104,310105,downstream,downstream,Shanghai,Shanghai,False,False
1,3,310104,310106,downstream,downstream,Shanghai,Shanghai,False,False
2,7,310105,310112,downstream,downstream,Shanghai,Shanghai,False,False
2,4,310105,310107,downstream,downstream,Shanghai,Shanghai,False,False
2,3,310105,310106,downstream,downstream,Shanghai,Shanghai,False,False
2,9,310105,310114,downstream,downstream,Shanghai,Shanghai,False,False
3,4,310106,310107,downstream,downstream,Shanghai,Shanghai,False,False
3,5,310106,310109,downstream,downstream,Shanghai,Shanghai,False,False
3,8,310106,310113,downstream,downstream,Shanghai,Shanghai,False,False
4,9,310107,310114,downstream,downstream,Shanghai,Shanghai,False,False
4,8,310107,310113,downstream,downstream,Shanghai,Shanghai,False,False
5,10,310109,310115,downstream,downstream,Shanghai,Shanghai,False,False
5,6,310109,310110,downstream,downstream,Shanghai,Shanghai,False,False
5,8,310109,310113,downstream,downstream,Shanghai,Shanghai,False,False
6,10,310110,310115,downstream,downstream,Shanghai,Shanghai,False,False
6,8,310110,310113,downstream,downstream,Shanghai,Shanghai,False,False
7,14,310112,310120,downstream,downstream,Shanghai,Shanghai,False,False
7,12,310112,310117,downstream,downstream,Shanghai,Shanghai,False,False
7,13,310112,310118,downstream,downstream,Shanghai,Shanghai,False,False
7,10,310112,310115,downstream,downstream,Shanghai,Shanghai,False,False
7,9,310112,310114,downstream,downstream,Shanghai,Shanghai,False,False
8,10,310113,310115,downstream,downstream,Shanghai,Shanghai,False,False
8,9,310113,310114,downstream,downstream,Shanghai,Shanghai,False,False
8,58,310113,320585,downstream,downstream,Shanghai,Jiangsu,False,True
9,13,310114,310118,downstream,downstream,Shanghai,Shanghai,False,False
9,57,310114,320583,downstream,downstream,Shanghai,Jiangsu,False,True
9,58,310114,320585,downstream,downstream,Shanghai,Jiangsu,False,True
10,182,310115,330922,downstream,downstream,Shanghai,Zhejiang,False,True
10,14,310115,310120,downstream,downstream,Shanghai,Shanghai,False,False
11,151,310116,330482,downstream,downstream,Shanghai,Zhejiang,False,True
11,148,310116,330421,downstream,downstream,Shanghai,Zhejiang,False,True
11,14,310116,310120,downstream,downstream,Shanghai,Shanghai,False,False
11,12,310116,310117,downstream,downstream,Shanghai,Shanghai,False,False
11,13,310116,310118,downstream,downstream,Shanghai,Shanghai,False,False
12,14,310117,310120,downstream,downstream,Shanghai,Shanghai,False,False
12,13,310117,310118,downstream,downstream,Shanghai,Shanghai,False,False
13,148,310118,330421,downstream,downstream,Shanghai,Zhejiang,False,True
13,54,310118,320509,downstream,downstream,Shanghai,Jiangsu,False,True
13,57,310118,320583,downstream,downstream,Shanghai,Jiangsu,False,True
15,58,310151,320585,downstream,downstream,Shanghai,Jiangsu,False,True
15,62,310151,320681,downstream,downstream,Shanghai,Jiangsu,False,True
15,64,310151,320684,downstream,downstream,Shanghai,Jiangsu,False,True
16,19,320102,320106,downstream,downstream,Jiangsu,Jiangsu,False,False
16,23,320102,320115,downstream,downstream,Jiangsu,Jiangsu,False,False
16,17,320102,320104,downstream,downstream,Jiangsu,Jiangsu,False,False
16,21,320102,320113,downstream,downstream,Jiangsu,Jiangsu,False,False
17,22,320104,320114,downstream,downstream,Jiangsu,Jiangsu,False,False
17,18,320104,320105,downstream,downstream,Jiangsu,Jiangsu,False,False
17,19,320104,320106,downstream,downstream,Jiangsu,Jiangsu,False,False
17,23,320104,320115,downstream,downstream,Jiangsu,Jiangsu,False,False
18,22,320105,320114,downstream,downstream,Jiangsu,Jiangsu,False,False
18,20,320105,320111,downstream,downstream,Jiangsu,Jiangsu,False,False
18,19,320105,320106,downstream,downstream,Jiangsu,Jiangsu,False,False
19,20,320106,320111,downstream,downstream,Jiangsu,Jiangsu,False,False
19,21,320106,320113,downstream,downstream,Jiangsu,Jiangsu,False,False
20,22,320111,320114,downstream,downstream,Jiangsu,Jiangsu,False,False
20,265,320111,341124,downstream,downstream,Jiangsu,Anhui,False,True
20,23,320111,320115,downstream,downstream,Jiangsu,Jiangsu,False,False
20,21,320111,320113,downstream,downstream,Jiangsu,Jiangsu,False,False
20,24,320111,320116,downstream,downstream,Jiangsu,Jiangsu,False,False
20,236,320111,340523,downstream,downstream,Jiangsu,Anhui,False,True
20,263,320111,341103,downstream,downstream,Jiangsu,Anhui,False,True
20,264,320111,341122,downstream,downstream,Jiangsu,Anhui,False,True
21,23,320113,320115,downstream,downstream,Jiangsu,Jiangsu,False,False
21,99,320113,321183,downstream,downstream,Jiangsu,Jiangsu,False,False
21,96,320113,321112,downstream,downstream,Jiangsu,Jiangsu,False,False
21,24,320113,320116,downstream,downstream,Jiangsu,Jiangsu,False,False
21,92,320113,321081,downstream,downstream,Jiangsu,Jiangsu,False,False
22,23,320114,320115,downstream,downstream,Jiangsu,Jiangsu,False,False
23,233,320115,340506,downstream,downstream,Jiangsu,Anhui,False,True
23,25,320115,320117,downstream,downstream,Jiangsu,Jiangsu,False,False
23,99,320115,321183,downstream,downstream,Jiangsu,Jiangsu,False,False
23,232,320115,340504,downstream,downstream,Jiangsu,Anhui,False,True
23,231,320115,340503,downstream,downstream,Jiangsu,Anhui,False,True
23,236,320115,340523,downstream,downstream,Jiangsu,Anhui,False,True
24,264,320116,341122,downstream,downstream,Jiangsu,Anhui,False,True
24,92,320116,321081,downstream,downstream,Jiangsu,Jiangsu,False,False
24,268,320116,341181,downstream,downstream,Jiangsu,Anhui,False,True
25,26,320117,320118,downstream,downstream,Jiangsu,Jiangsu,False,False
25,49,320117,320481,downstream,downstream,Jiangsu,Jiangsu,False,False
25,233,320117,340506,downstream,downstream,Jiangsu,Anhui,False,True
25,99,320117,321183,downstream,downstream,Jiangsu,Jiangsu,False,False
26,298,320118,341802,downstream,downstream,Jiangsu,Anhui,False,True
26,299,320118,341821,downstream,downstream,Jiangsu,Anhui,False,True
26,49,320118,320481,downstream,downstream,Jiangsu,Jiangsu,False,False
26,233,320118,340506,downstream,downstream,Jiangsu,Anhui,False,True
26,234,320118,340521,downstream,downstream,Jiangsu,Anhui,False,True
27,31,320205,320214,downstream,downstream,Jiangsu,Jiangsu,False,False
27,30,320205,320213,downstream,downstream,Jiangsu,Jiangsu,False,False
27,52,320205,320507,downstream,downstream,Jiangsu,Jiangsu,False,False
27,28,320205,320206,downstream,downstream,Jiangsu,Jiangsu,False,False
27,32,320205,320281,downstream,downstream,Jiangsu,Jiangsu,False,False
27,55,320205,320581,downstream,downstream,Jiangsu,Jiangsu,False,False
28,29,320206,320211,downstream,downstream,Jiangsu,Jiangsu,False,False
28,47,320206,320412,downstream,downstream,Jiangsu,Jiangsu,False,False
28,30,320206,320213,downstream,downstream,Jiangsu,Jiangsu,False,False
28,32,320206,320281,downstream,downstream,Jiangsu,Jiangsu,False,False
29,33,320211,320282,downstream,downstream,Jiangsu,Jiangsu,False,False
29,31,320211,320214,downstream,downstream,Jiangsu,Jiangsu,False,False
29,47,320211,320412,downstream,downstream,Jiangsu,Jiangsu,False,False
29,30,320211,320213,downstream,downstream,Jiangsu,Jiangsu,False,False
29,51,320211,320506,downstream,downstream,Jiangsu,Jiangsu,False,False
29,50,320211,320505,downstream,downstream,Jiangsu,Jiangsu,False,False
29,52,320211,320507,downstream,downstream,Jiangsu,Jiangsu,False,False
30,31,320213,320214,downstream,downstream,Jiangsu,Jiangsu,False,False
31,52,320214,320507,downstream,downstream,Jiangsu,Jiangsu,False,False
32,47,320281,320412,downstream,downstream,Jiangsu,Jiangsu,False,False
32,44,320281,320402,downstream,downstream,Jiangsu,Jiangsu,False,False
32,46,320281,320411,downstream,downstream,Jiangsu,Jiangsu,False,False
32,104,320281,321282,downstream,downstream,Jiangsu,Jiangsu,False,False
32,105,320281,321283,downstream,downstream,Jiangsu,Jiangsu,False,False
32,55,320281,320581,downstream,downstream,Jiangsu,Jiangsu,False,False
32,56,320281,320582,downstream,downstream,Jiangsu,Jiangsu,False,False
33,304,320282,341882,downstream,downstream,Jiangsu,Anhui,False,True
33,156,320282,330522,downstream,downstream,Jiangsu,Zhejiang,False,True
33,49,320282,320481,downstream,downstream,Jiangsu,Jiangsu,False,False
33,47,320282,320412,downstream,downstream,Jiangsu,Jiangsu,False,False
33,51,320282,320506,downstream,downstream,Jiangsu,Jiangsu,False,False
33,48,320282,320413,downstream,downstream,Jiangsu,Jiangsu,False,False
34,35,320302,320303,downstream,downstream,Jiangsu,Jiangsu,False,False
34,37,320302,320311,downstream,downstream,Jiangsu,Jiangsu,False,False
34,38,320302,320312,downstream,downstream,Jiangsu,Jiangsu,False,False
34,36,320302,320305,downstream,downstream,Jiangsu,Jiangsu,False,False
35,37,320303,320311,downstream,downstream,Jiangsu,Jiangsu,False,False
35,38,320303,320312,downstream,downstream,Jiangsu,Jiangsu,False,False
35,36,320303,320305,downstream,downstream,Jiangsu,Jiangsu,False,False
36,38,320305,320312,downstream,downstream,Jiangsu,Jiangsu,False,False
36,43,320305,320382,downstream,downstream,Jiangsu,Jiangsu,False,False
37,38,320311,320312,downstream,downstream,Jiangsu,Jiangsu,False,False
38,278,320312,341302,downstream,downstream,Jiangsu,Anhui,False,True
38,237,320312,340602,downstream,downstream,Jiangsu,Anhui,False,True
38,280,320312,341322,downstream,downstream,Jiangsu,Anhui,False,True
38,39,320312,320321,downstream,downstream,Jiangsu,Jiangsu,False,False
38,40,320312,320322,downstream,downstream,Jiangsu,Jiangsu,False,False
38,281,320312,341323,downstream,downstream,Jiangsu,Anhui,False,True
38,41,320312,320324,downstream,downstream,Jiangsu,Jiangsu,False,False
38,43,320312,320382,downstream,downstream,Jiangsu,Jiangsu,False,False
39,280,320321,341322,downstream,downstream,Jiangsu,Anhui,False,True
39,279,320321,341321,downstream,downstream,Jiangsu,Anhui,False,True
39,40,320321,320322,downstream,downstream,Jiangsu,Jiangsu,False,False
41,282,320324,341324,downstream,downstream,Jiangsu,Anhui,False,True
41,281,320324,341323,downstream,downstream,Jiangsu,Anhui,False,True
41,106,320324,321302,downstream,downstream,Jiangsu,Jiangsu,False,False
41,107,320324,321311,downstream,downstream,Jiangsu,Jiangsu,False,False
41,43,320324,320382,downstream,downstream,Jiangsu,Jiangsu,False,False
42,107,320381,321311,downstream,downstream,Jiangsu,Jiangsu,False,False
42,108,320381,321322,downstream,downstream,Jiangsu,Jiangsu,False,False
42,43,320381,320382,downstream,downstream,Jiangsu,Jiangsu,False,False
42,69,320381,320722,downstream,downstream,Jiangsu,Jiangsu,False,False
43,107,320382,321311,downstream,downstream,Jiangsu,Jiangsu,False,False
44,47,320402,320412,downstream,downstream,Jiangsu,Jiangsu,False,False
44,45,320402,320404,downstream,downstream,Jiangsu,Jiangsu,False,False
44,46,320402,320411,downstream,downstream,Jiangsu,Jiangsu,False,False
45,47,320404,320412,downstream,downstream,Jiangsu,Jiangsu,False,False
45,97,320404,321181,downstream,downstream,Jiangsu,Jiangsu,False,False
45,46,320404,320411,downstream,downstream,Jiangsu,Jiangsu,False,False
46,97,320411,321181,downstream,downstream,Jiangsu,Jiangsu,False,False
46,104,320411,321282,downstream,downstream,Jiangsu,Jiangsu,False,False
46,98,320411,321182,downstream,downstream,Jiangsu,Jiangsu,False,False
46,105,320411,321283,downstream,downstream,Jiangsu,Jiangsu,False,False
47,48,320412,320413,downstream,downstream,Jiangsu,Jiangsu,False,False
47,97,320412,321181,downstream,downstream,Jiangsu,Jiangsu,False,False
48,49,320413,320481,downstream,downstream,Jiangsu,Jiangsu,False,False
48,99,320413,321183,downstream,downstream,Jiangsu,Jiangsu,False,False
48,97,320413,321181,downstream,downstream,Jiangsu,Jiangsu,False,False
48,96,320413,321112,downstream,downstream,Jiangsu,Jiangsu,False,False
49,304,320481,341882,downstream,downstream,Jiangsu,Anhui,False,True
49,299,320481,341821,downstream,downstream,Jiangsu,Anhui,False,True
49,99,320481,321183,downstream,downstream,Jiangsu,Jiangsu,False,False
50,51,320505,320506,downstream,downstream,Jiangsu,Jiangsu,False,False
50,53,320505,320508,downstream,downstream,Jiangsu,Jiangsu,False,False
50,52,320505,320507,downstream,downstream,Jiangsu,Jiangsu,False,False
51,153,320506,330502,downstream,downstream,Jiangsu,Zhejiang,False,True
51,156,320506,330522,downstream,downstream,Jiangsu,Zhejiang,False,True
51,54,320506,320509,downstream,downstream,Jiangsu,Jiangsu,False,False
51,53,320506,320508,downstream,downstream,Jiangsu,Jiangsu,False,False
51,57,320506,320583,downstream,downstream,Jiangsu,Jiangsu,False,False
51,52,320506,320507,downstream,downstream,Jiangsu,Jiangsu,False,False
52,53,320507,320508,downstream,downstream,Jiangsu,Jiangsu,False,False
52,57,320507,320583,downstream,downstream,Jiangsu,Jiangsu,False,False
52,55,320507,320581,downstream,downstream,Jiangsu,Jiangsu,False,False
54,153,320509,330502,downstream,downstream,Jiangsu,Zhejiang,False,True
54,154,320509,330503,downstream,downstream,Jiangsu,Zhejiang,False,True
54,152,320509,330483,downstream,downstream,Jiangsu,Zhejiang,False,True
54,147,320509,330411,downstream,downstream,Jiangsu,Zhejiang,False,True
54,148,320509,330421,downstream,downstream,Jiangsu,Zhejiang,False,True
54,57,320509,320583,downstream,downstream,Jiangsu,Jiangsu,False,False
55,57,320581,320583,downstream,downstream,Jiangsu,Jiangsu,False,False
55,58,320581,320585,downstream,downstream,Jiangsu,Jiangsu,False,False
55,56,320581,320582,downstream,downstream,Jiangsu,Jiangsu,False,False
55,59,320581,320602,downstream,downstream,Jiangsu,Jiangsu,False,False
55,64,320581,320684,downstream,downstream,Jiangsu,Jiangsu,False,False
56,104,320582,321282,downstream,downstream,Jiangsu,Jiangsu,False,False
56,59,320582,320602,downstream,downstream,Jiangsu,Jiangsu,False,False
56,60,320582,320612,downstream,downstream,Jiangsu,Jiangsu,False,False
56,63,320582,320682,downstream,downstream,Jiangsu,Jiangsu,False,False
57,58,320583,320585,downstream,downstream,Jiangsu,Jiangsu,False,False
58,64,320585,320684,downstream,downstream,Jiangsu,Jiangsu,False,False
59,64,320602,320684,downstream,downstream,Jiangsu,Jiangsu,False,False
59,60,320602,320612,downstream,downstream,Jiangsu,Jiangsu,False,False
60,64,320612,320684,downstream,downstream,Jiangsu,Jiangsu,False,False
60,61,320612,320623,downstream,downstream,Jiangsu,Jiangsu,False,False
60,63,320612,320682,downstream,downstream,Jiangsu,Jiangsu,False,False
61,63,320623,320682,downstream,downstream,Jiangsu,Jiangsu,False,False
61,65,320623,320685,downstream,downstream,Jiangsu,Jiangsu,False,False
62,64,320681,320684,downstream,downstream,Jiangsu,Jiangsu,False,False
63,104,320682,321282,downstream,downstream,Jiangsu,Jiangsu,False,False
63,105,320682,321283,downstream,downstream,Jiangsu,Jiangsu,False,False
63,65,320682,320685,downstream,downstream,Jiangsu,Jiangsu,False,False
65,105,320685,321283,downstream,downstream,Jiangsu,Jiangsu,False,False
65,102,320685,321204,downstream,downstream,Jiangsu,Jiangsu,False,False
65,87,320685,320981,downstream,downstream,Jiangsu,Jiangsu,False,False
66,70,320703,320723,downstream,downstream,Jiangsu,Jiangsu,False,False
66,67,320703,320706,downstream,downstream,Jiangsu,Jiangsu,False,False
67,70,320706,320723,downstream,downstream,Jiangsu,Jiangsu,False,False
67,69,320706,320722,downstream,downstream,Jiangsu,Jiangsu,False,False
67,68,320706,320707,downstream,downstream,Jiangsu,Jiangsu,False,False
68,69,320707,320722,downstream,downstream,Jiangsu,Jiangsu,False,False
69,70,320722,320723,downstream,downstream,Jiangsu,Jiangsu,False,False
69,108,320722,321322,downstream,downstream,Jiangsu,Jiangsu,False,False
70,71,320723,320724,downstream,downstream,Jiangsu,Jiangsu,False,False
70,82,320723,320921,downstream,downstream,Jiangsu,Jiangsu,False,False
70,108,320723,321322,downstream,downstream,Jiangsu,Jiangsu,False,False
71,76,320724,320826,downstream,downstream,Jiangsu,Jiangsu,False,False
71,82,320724,320921,downstream,downstream,Jiangsu,Jiangsu,False,False
71,108,320724,321322,downstream,downstream,Jiangsu,Jiangsu,False,False
72,91,320803,321023,downstream,downstream,Jiangsu,Jiangsu,False,False
72,74,320803,320812,downstream,downstream,Jiangsu,Jiangsu,False,False
72,86,320803,320925,downstream,downstream,Jiangsu,Jiangsu,False,False
72,75,320803,320813,downstream,downstream,Jiangsu,Jiangsu,False,False
72,84,320803,320923,downstream,downstream,Jiangsu,Jiangsu,False,False
72,76,320803,320826,downstream,downstream,Jiangsu,Jiangsu,False,False
73,74,320804,320812,downstream,downstream,Jiangsu,Jiangsu,False,False
73,75,320804,320813,downstream,downstream,Jiangsu,Jiangsu,False,False
73,110,320804,321324,downstream,downstream,Jiangsu,Jiangsu,False,False
73,109,320804,321323,downstream,downstream,Jiangsu,Jiangsu,False,False
73,76,320804,320826,downstream,downstream,Jiangsu,Jiangsu,False,False
73,108,320804,321322,downstream,downstream,Jiangsu,Jiangsu,False,False
74,75,320812,320813,downstream,downstream,Jiangsu,Jiangsu,False,False
74,76,320812,320826,downstream,downstream,Jiangsu,Jiangsu,False,False
75,77,320813,320830,downstream,downstream,Jiangsu,Jiangsu,False,False
75,78,320813,320831,downstream,downstream,Jiangsu,Jiangsu,False,False
75,91,320813,321023,downstream,downstream,Jiangsu,Jiangsu,False,False
75,110,320813,321324,downstream,downstream,Jiangsu,Jiangsu,False,False
76,84,320826,320923,downstream,downstream,Jiangsu,Jiangsu,False,False
76,83,320826,320922,downstream,downstream,Jiangsu,Jiangsu,False,False
76,82,320826,320921,downstream,downstream,Jiangsu,Jiangsu,False,False
76,108,320826,321322,downstream,downstream,Jiangsu,Jiangsu,False,False
77,264,320830,341122,downstream,downstream,Jiangsu,Anhui,False,True
77,269,320830,341182,downstream,downstream,Jiangsu,Anhui,False,True
77,268,320830,341181,downstream,downstream,Jiangsu,Anhui,False,True
77,78,320830,320831,downstream,downstream,Jiangsu,Jiangsu,False,False
77,110,320830,321324,downstream,downstream,Jiangsu,Jiangsu,False,False
78,268,320831,341181,downstream,downstream,Jiangsu,Anhui,False,True
78,93,320831,321084,downstream,downstream,Jiangsu,Jiangsu,False,False
78,91,320831,321023,downstream,downstream,Jiangsu,Jiangsu,False,False
79,80,320902,320903,downstream,downstream,Jiangsu,Jiangsu,False,False
79,81,320902,320904,downstream,downstream,Jiangsu,Jiangsu,False,False
79,86,320902,320925,downstream,downstream,Jiangsu,Jiangsu,False,False
79,85,320902,320924,downstream,downstream,Jiangsu,Jiangsu,False,False
80,103,320903,321281,downstream,downstream,Jiangsu,Jiangsu,False,False
80,91,320903,321023,downstream,downstream,Jiangsu,Jiangsu,False,False
80,81,320903,320904,downstream,downstream,Jiangsu,Jiangsu,False,False
80,86,320903,320925,downstream,downstream,Jiangsu,Jiangsu,False,False
81,87,320904,320981,downstream,downstream,Jiangsu,Jiangsu,False,False
81,103,320904,321281,downstream,downstream,Jiangsu,Jiangsu,False,False
82,83,320921,320922,downstream,downstream,Jiangsu,Jiangsu,False,False
83,84,320922,320923,downstream,downstream,Jiangsu,Jiangsu,False,False
83,85,320922,320924,downstream,downstream,Jiangsu,Jiangsu,False,False
84,86,320923,320925,downstream,downstream,Jiangsu,Jiangsu,False,False
84,85,320923,320924,downstream,downstream,Jiangsu,Jiangsu,False,False
85,86,320924,320925,downstream,downstream,Jiangsu,Jiangsu,False,False
86,91,320925,321023,downstream,downstream,Jiangsu,Jiangsu,False,False
87,102,320981,321204,downstream,downstream,Jiangsu,Jiangsu,False,False
87,103,320981,321281,downstream,downstream,Jiangsu,Jiangsu,False,False
88,96,321002,321112,downstream,downstream,Jiangsu,Jiangsu,False,False
88,98,321002,321182,downstream,downstream,Jiangsu,Jiangsu,False,False
88,94,321002,321102,downstream,downstream,Jiangsu,Jiangsu,False,False
88,89,321002,321003,downstream,downstream,Jiangsu,Jiangsu,False,False
88,90,321002,321012,downstream,downstream,Jiangsu,Jiangsu,False,False
89,96,321003,321112,downstream,downstream,Jiangsu,Jiangsu,False,False
89,95,321003,321111,downstream,downstream,Jiangsu,Jiangsu,False,False
89,94,321003,321102,downstream,downstream,Jiangsu,Jiangsu,False,False
89,92,321003,321081,downstream,downstream,Jiangsu,Jiangsu,False,False
89,90,321003,321012,downstream,downstream,Jiangsu,Jiangsu,False,False
89,93,321003,321084,downstream,downstream,Jiangsu,Jiangsu,False,False
90,98,321012,321182,downstream,downstream,Jiangsu,Jiangsu,False,False
90,101,321012,321203,downstream,downstream,Jiangsu,Jiangsu,False,False
90,100,321012,321202,downstream,downstream,Jiangsu,Jiangsu,False,False
90,102,321012,321204,downstream,downstream,Jiangsu,Jiangsu,False,False
90,93,321012,321084,downstream,downstream,Jiangsu,Jiangsu,False,False
90,103,321012,321281,downstream,downstream,Jiangsu,Jiangsu,False,False
91,93,321023,321084,downstream,downstream,Jiangsu,Jiangsu,False,False
91,103,321023,321281,downstream,downstream,Jiangsu,Jiangsu,False,False
92,96,321081,321112,downstream,downstream,Jiangsu,Jiangsu,False,False
92,268,321081,341181,downstream,downstream,Jiangsu,Anhui,False,True
92,93,321081,321084,downstream,downstream,Jiangsu,Jiangsu,False,False
93,268,321084,341181,downstream,downstream,Jiangsu,Anhui,False,True
93,103,321084,321281,downstream,downstream,Jiangsu,Jiangsu,False,False
94,97,321102,321181,downstream,downstream,Jiangsu,Jiangsu,False,False
94,96,321102,321112,downstream,downstream,Jiangsu,Jiangsu,False,False
94,95,321102,321111,downstream,downstream,Jiangsu,Jiangsu,False,False
94,98,321102,321182,downstream,downstream,Jiangsu,Jiangsu,False,False
95,99,321111,321183,downstream,downstream,Jiangsu,Jiangsu,False,False
95,96,321111,321112,downstream,downstream,Jiangsu,Jiangsu,False,False
96,99,321112,321183,downstream,downstream,Jiangsu,Jiangsu,False,False
96,97,321112,321181,downstream,downstream,Jiangsu,Jiangsu,False,False
96,98,321112,321182,downstream,downstream,Jiangsu,Jiangsu,False,False
97,98,321181,321182,downstream,downstream,Jiangsu,Jiangsu,False,False
98,105,321182,321283,downstream,downstream,Jiangsu,Jiangsu,False,False
98,101,321182,321203,downstream,downstream,Jiangsu,Jiangsu,False,False
100,101,321202,321203,downstream,downstream,Jiangsu,Jiangsu,False,False
100,102,321202,321204,downstream,downstream,Jiangsu,Jiangsu,False,False
101,105,321203,321283,downstream,downstream,Jiangsu,Jiangsu,False,False
101,102,321203,321204,downstream,downstream,Jiangsu,Jiangsu,False,False
102,105,321204,321283,downstream,downstream,Jiangsu,Jiangsu,False,False
102,103,321204,321281,downstream,downstream,Jiangsu,Jiangsu,False,False
104,105,321282,321283,downstream,downstream,Jiangsu,Jiangsu,False,False
106,110,321302,321324,downstream,downstream,Jiangsu,Jiangsu,False,False
106,282,321302,341324,downstream,downstream,Jiangsu,Anhui,False,True
106,109,321302,321323,downstream,downstream,Jiangsu,Jiangsu,False,False
106,107,321302,321311,downstream,downstream,Jiangsu,Jiangsu,False,False
107,109,321311,321323,downstream,downstream,Jiangsu,Jiangsu,False,False
107,108,321311,321322,downstream,downstream,Jiangsu,Jiangsu,False,False
108,109,321322,321323,downstream,downstream,Jiangsu,Jiangsu,False,False
109,110,321323,321324,downstream,downstream,Jiangsu,Jiangsu,False,False
110,269,321324,341182,downstream,downstream,Jiangsu,Anhui,False,True
110,222,321324,340322,downstream,downstream,Jiangsu,Anhui,False,True
110,282,321324,341324,downstream,downstream,Jiangsu,Anhui,False,True
111,114,330102,330108,downstream,downstream,Zhejiang,Zhejiang,False,False
111,113,330102,330106,downstream,downstream,Zhejiang,Zhejiang,False,False
111,115,330102,330109,downstream,downstream,Zhejiang,Zhejiang,False,False
111,119,330102,330114,downstream,downstream,Zhejiang,Zhejiang,False,False
111,120,330102,330113,downstream,downstream,Zhejiang,Zhejiang,False,False
111,112,330102,330105,downstream,downstream,Zhejiang,Zhejiang,False,False
112,113,330105,330106,downstream,downstream,Zhejiang,Zhejiang,False,False
112,120,330105,330113,downstream,downstream,Zhejiang,Zhejiang,False,False
112,116,330105,330110,downstream,downstream,Zhejiang,Zhejiang,False,False
113,117,330106,330111,downstream,downstream,Zhejiang,Zhejiang,False,False
113,114,330106,330108,downstream,downstream,Zhejiang,Zhejiang,False,False
113,115,330106,330109,downstream,downstream,Zhejiang,Zhejiang,False,False
113,116,330106,330110,downstream,downstream,Zhejiang,Zhejiang,False,False
114,115,330108,330109,downstream,downstream,Zhejiang,Zhejiang,False,False
115,117,330109,330111,downstream,downstream,Zhejiang,Zhejiang,False,False
115,162,330109,330681,downstream,downstream,Zhejiang,Zhejiang,False,False
115,159,330109,330603,downstream,downstream,Zhejiang,Zhejiang,False,False
115,119,330109,330114,downstream,downstream,Zhejiang,Zhejiang,False,False
116,117,330110,330111,downstream,downstream,Zhejiang,Zhejiang,False,False
116,118,330110,330112,downstream,downstream,Zhejiang,Zhejiang,False,False
116,120,330110,330113,downstream,downstream,Zhejiang,Zhejiang,False,False
116,157,330110,330523,downstream,downstream,Zhejiang,Zhejiang,False,False
116,155,330110,330521,downstream,downstream,Zhejiang,Zhejiang,False,False
117,121,330111,330122,downstream,downstream,Zhejiang,Zhejiang,False,False
117,118,330111,330112,downstream,downstream,Zhejiang,Zhejiang,False,False
117,162,330111,330681,downstream,downstream,Zhejiang,Zhejiang,False,False
118,122,330112,330127,downstream,downstream,Zhejiang,Zhejiang,False,False
118,258,330112,341021,downstream,downstream,Zhejiang,Anhui,False,True
118,121,330112,330122,downstream,downstream,Zhejiang,Zhejiang,False,False
118,301,330112,341824,downstream,downstream,Zhejiang,Anhui,False,True
118,303,330112,341881,downstream,downstream,Zhejiang,Anhui,False,True
118,157,330112,330523,downstream,downstream,Zhejiang,Zhejiang,False,False
119,159,330114,330603,downstream,downstream,Zhejiang,Zhejiang,False,False
119,120,330114,330113,downstream,downstream,Zhejiang,Zhejiang,False,False
119,150,330114,330481,downstream,downstream,Zhejiang,Zhejiang,False,False
120,150,330113,330481,downstream,downstream,Zhejiang,Zhejiang,False,False
120,155,330113,330521,downstream,downstream,Zhejiang,Zhejiang,False,False
120,152,330113,330483,downstream,downstream,Zhejiang,Zhejiang,False,False
121,123,330122,330182,downstream,downstream,Zhejiang,Zhejiang,False,False
121,122,330122,330127,downstream,downstream,Zhejiang,Zhejiang,False,False
121,167,330122,330726,downstream,downstream,Zhejiang,Zhejiang,False,False
121,162,330122,330681,downstream,downstream,Zhejiang,Zhejiang,False,False
122,174,330127,330803,downstream,downstream,Zhejiang,Zhejiang,False,False
122,175,330127,330822,downstream,downstream,Zhejiang,Zhejiang,False,False
122,176,330127,330824,downstream,downstream,Zhejiang,Zhejiang,False,False
122,123,330127,330182,downstream,downstream,Zhejiang,Zhejiang,False,False
122,259,330127,341022,downstream,downstream,Zhejiang,Anhui,False,True
122,258,330127,341021,downstream,downstream,Zhejiang,Anhui,False,True
123,174,330182,330803,downstream,downstream,Zhejiang,Zhejiang,False,False
123,177,330182,330825,downstream,downstream,Zhejiang,Zhejiang,False,False
123,169,330182,330781,downstream,downstream,Zhejiang,Zhejiang,False,False
123,167,330182,330726,downstream,downstream,Zhejiang,Zhejiang,False,False
124,129,330203,330213,downstream,downstream,Zhejiang,Zhejiang,False,False
124,128,330203,330212,downstream,downstream,Zhejiang,Zhejiang,False,False
124,132,330203,330281,downstream,downstream,Zhejiang,Zhejiang,False,False
124,125,330203,330205,downstream,downstream,Zhejiang,Zhejiang,False,False
125,128,330205,330212,downstream,downstream,Zhejiang,Zhejiang,False,False
