adcode,elev_mean,elev_std,elev_min,elev_max,relief,slope_mean,slope_std,slope_max,roughness,dem_n
310101,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774
310104,5.252561554165877,2.6467001615138606,0.0,21.898914337158203,21.898914337158203,0.9912950157861259,0.7118380582217531,6.747848033905029,0.5094204222975508,7510
310105,5.899232902905838,2.4306193594705894,-4.398454189300537,21.170597076416016,25.569051265716553,1.0739194639965775,0.7212139521767277,6.1997199058532715,0.5122039460181992,5080
310106,5.94424171794843,2.4909878062272557,0.0,32.692508697509766,32.692508697509766,1.1976672388286862,0.8649614329806661,8.954020500183105,0.5781326882724805,5011
310107,5.687053075701632,2.3123365436427443,0.0,21.856367111206055,21.856367111206055,1.1117775915074946,0.7550476882692939,6.474026203155518,0.5329996425687803,7571
310109,5.865571477726994,2.6113720253889965,-0.2909521460533142,18.207555770874023,18.498507916927338,1.13937262417769,0.7743588674179154,9.624248504638672,0.5520469008840669,3189
310110,4.932857541933676,2.8253692256771212,-5.636457443237305,21.17333221435547,26.809789657592773,1.0464177654554403,0.819507278261703,7.216596603393555,0.5402255543853172,8253
310112,4.665597694874612,2.353030822442905,-2.1522302627563477,39.40858459472656,41.56081485748291,0.862404995864628,0.7149362911779372,11.687799453735352,0.44066863842080495,50727
310113,4.755315952219553,3.004588363436855,0.0,49.17662811279297,49.17662811279297,0.9521042500885463,0.9971804247925776,16.882049560546875,0.5006391087482815,43179
310114,4.0782826889685495,1.8948405059145965,-0.5,22.75752830505371,23.25752830505371,0.7924664821279148,0.6176176935115791,6.5994720458984375,0.3988098117369321,63112
310115,2.9389081467686258,2.2665355893464505,-3.7779407501220703,37.62610626220703,41.4040470123291,0.5510671941037044,0.6342270246903852,11.767632484436035,0.28689783101647126,231054
310116,2.828218635906584,1.8245284035170444,-7.0,62.290733337402344,69.29073333740234,0.5079284953031997,0.5520047606945292,26.568391799926758,0.2613991125725836,90642
310117,3.375413611397179,2.834092680742992,-29.581043243408203,94.12184143066406,123.70288467407227,0.7585781701434476,1.0016298733928235,23.14261817932129,0.40073009042313174,82544
310118,2.8000113909109445,1.9933690244173494,-3.013908863067627,33.90748596191406,36.92139482498169,0.651990842689215,0.5860579819877748,9.865372657775879,0.341648173511509,90963
310120,2.897562209440138,1.8988281513637664,-4.1774582862854,19.928897857666016,24.106356143951416,0.4949856685114089,0.502122914278508,5.98362398147583,0.25342921786718514,109421
310151,2.0051105130641593,1.6316886230227372,-3.0,32.8486442565918,35.8486442565918,0.33678037956309886,0.4430994106665062,14.2403564453125,0.18249834794515385,287703
320102,51.49600720254056,61.05518118447119,2.9271717071533203,436.5942077636719,433.66703605651855,4.453183252324131,5.429422402667359,30.437213897705078,1.5872424850425089,10385
320104,11.926101215623826,4.679833337225357,2.7690885066986084,40.95143127441406,38.182342767715454,1.3884042472396205,0.9970071668245701,8.787223815917969,0.6710532276698908,6738
320105,6.735933301146922,3.61309075462928,-0.011752103455364704,43.60963439941406,43.62138650286943,1.0103455316913579,0.9604304830022354,11.007533073425293,0.5869232134289922,10886
320106,17.37302853402027,14.406019238403042,1.0,160.32199096679688,159.32199096679688,2.3411404278454127,2.8868145697585383,37.75188446044922,1.159148504590971,7553
320111,27.840479374300475,42.06510447361827,0.0,427.30511474609375,427.30511474609375,2.571926824339178,4.530135405635499,44.389041900634766,1.021318285612577,124840
320113,17.080665601481083,21.16958329694558,-3.0,266.36798095703125,269.36798095703125,2.117339358032401,3.4893763207198045,36.96083068847656,1.031063065204272,53749
320114,22.497776114299274,19.581756565681687,-77.42449188232422,178.93545532226562,256.35994720458984,2.575964645122255,3.217998552816997,28.350736618041992,1.1741583570242493,17978
320115,31.698925265713136,37.31881204790544,-26.0,376.85888671875,402.85888671875,2.886104674483887,4.322826183406728,39.83675765991211,1.2129704736958347,214753
320116,23.345020583530914,21.18355326007761,-3.0,230.00987243652344,233.00987243652344,1.5382487822326274,2.07949539447022,30.901891708374023,0.67249227492092,203980
320117,27.981158940187086,26.320621448992114,-5.551423072814941,286.14019775390625,291.6916208267212,2.3962430553598972,3.3536777455377953,33.98625946044922,1.0273638830374674,145367
320118,13.758843897626766,13.475916372938142,-3.5,183.85000610351562,187.35000610351562,1.1074733212085797,1.6815969982739127,29.059249877929688,0.5154047866931076,108180
320205,5.606932248228687,4.67084455055365,-5.435572147369385,119.65815734863281,125.0937294960022,0.8510269281099818,1.4260384080981838,26.84433937072754,0.4474647001420335,54262
320206,5.480585306462195,10.719398005287518,-1.5121140480041504,218.7880401611328,220.30015420913696,1.1266085008741284,2.279603737514131,35.380516052246094,0.5458426528403753,43849
320211,8.52063422604539,22.997198004794807,-4.3981804847717285,321.6523132324219,326.0504937171936,1.791310358268578,4.478440555444172,36.47636413574219,0.8016223077007083,85842
320213,8.12616154073829,18.756017883677018,0.0,298.3514404296875,298.3514404296875,1.5029165233554609,2.9915649959112787,32.24772262573242,0.6518618655989752,10076
320214,5.031529365059849,2.589767536003618,-1.0,53.61674499511719,54.61674499511719,0.8081921985625734,0.7856931751540357,15.038771629333496,0.4178973711837064,31835
320281,6.526798855701947,10.44907241352949,-28.0,249.4993438720703,277.4993438720703,1.1392733574486416,2.338973290470195,39.319488525390625,0.5614205423229295,136167
320282,34.43978570008969,75.4305823649501,-68.28607177734375,595.0281982421875,663.3142700195312,3.218180485082305,6.40704822336784,40.125274658203125,1.1522662523991443,277818
320302,42.31343042677515,11.88663289743702,21.29121208190918,171.30731201171875,150.01609992980957,2.160748055073899,3.064146806490965,34.491546630859375,1.1130967099984639,13025
320303,37.836452104376995,7.7321126821859485,26.203840255737305,145.71253967285156,119.50869941711426,1.4046121081877845,2.045223914636065,25.18740463256836,0.7378979471438233,16007
320305,41.749448512249984,23.951271056319147,20.0,357.1071472167969,337.1071472167969,1.5634454113991172,2.966932827319688,37.12783432006836,0.6961127966033372,105802
320311,43.82692524151462,17.733332275110612,26.5,233.7527618408203,207.2527618408203,2.2186458139907814,3.7392759382415033,31.836278915405273,1.0960137703437154,14386
320312,41.76056491959797,18.79522710136344,11.0,234.88243103027344,223.88243103027344,1.6591196328357358,2.8053865596722907,35.26932907104492,0.7749907344451842,273552
320321,41.289913682275696,3.448131189509905,28.5,61.05314254760742,32.55314254760742,0.677993901532763,0.7106764527515491,8.07997989654541,0.37818930020847846,205624
320322,38.58000993084914,3.1742992709603293,26.0,58.614845275878906,32.614845275878906,0.8431245298442948,0.8778302546103103,10.13264274597168,0.4752148248372421,177261
320324,26.36554587806058,6.389981294313256,13.0,147.1811065673828,134.1811065673828,0.9821013064024154,1.1719945835573369,24.17151641845703,0.5209004586190769,248657
320381,27.89264708960044,8.868715606526582,5.0,91.62004089355469,86.62004089355469,0.7468472492242331,0.8702976614373584,12.327021598815918,0.3975927843782355,224043
320382,28.40747394793368,7.054102741479026,14.5,196.0077362060547,181.5077362060547,0.7970816713058638,1.1932192344358492,25.452377319335938,0.4093962140633271,293431
320402,5.165266875870626,3.9489670147170157,-5.5,103.75713348388672,109.25713348388672,0.9837292065033078,1.3617406919766284,24.459508895874023,0.504023681370785,21126
320404,6.58134824371347,2.164892121234726,-15.73517894744873,32.39817810058594,48.13335704803467,0.8685561723457234,0.7630546747280864,10.616147994995117,0.43377782279157406,18312
320411,6.210232158381195,2.7009012122373344,-6.733386039733887,73.7174301147461,80.45081615447998,0.7475749309599614,0.8638898868479787,19.900888442993164,0.39477830819236953,69540
320412,4.964652010603859,7.309046479575685,-3.5,172.33563232421875,175.83563232421875,0.8081935929347288,1.6515172350170904,33.38376998901367,0.40681895484095754,145420
320413,10.278817343508896,17.261912658709317,-12.0,278.29791259765625,290.29791259765625,1.0465942842906326,1.9687492066622425,31.607696533203125,0.48193820727678555,133566
320481,26.936843512855987,46.21461304223987,-99.08526611328125,527.7119140625,626.7971801757812,2.5362655930888267,4.367355448408337,43.25795364379883,1.0560686888030097,209552
320505,7.42368798589159,21.740706178043137,-8.0,320.80419921875,328.80419921875,1.4921854932217098,3.853667352151805,42.5687255859375,0.7012266024888991,46134
320506,5.465834823193984,20.48113325236414,-62.0,329.64056396484375,391.64056396484375,1.0507726779710596,3.476240972881125,38.95927429199219,0.46148430637665044,337082
320507,2.9328686913598876,2.2933770974854997,-4.0,24.56356430053711,28.56356430053711,0.6080663222163507,0.6086005899234804,8.321062088012695,0.3213873511179759,66376
320508,5.944684997338778,2.6366882659497892,-1.0,33.10744857788086,34.10744857788086,1.031045505229291,0.7955337640862311,8.935295104980469,0.49948066514556927,11137
320509,2.421528409737372,2.044463503845418,-10.0,23.647563934326172,33.64756393432617,0.6108713240522642,0.5736419931280671,7.624019145965576,0.3324834850009248,166801
320581,4.272770784024817,11.00566482889575,-28.0,254.3250274658203,282.3250274658203,0.6991930232055582,1.4670157002378463,32.57071304321289,0.34423752646367334,173029
320582,3.610216174099805,3.440449602188457,-8.0,132.8498077392578,140.8498077392578,0.5737711663068003,0.8872060295558059,24.68427085876465,0.3025167299220705,138203
