adcode,name_zh,level,province,reach,prefecture_zh,area_km2,county_id,ndvi_mean,n_obs,year
320681,启东市,district,Jiangsu,downstream,南通市,1684.1964847968402,320681,0.37431275594313707,41855,2020
320682,如皋市,district,Jiangsu,downstream,南通市,1565.6378725398095,320682,0.5006222646951107,43688,2020
320684,海门区,district,Jiangsu,downstream,南通市,1134.9590075904266,320684,0.4206513316721142,30901,2020
320685,海安市,district,Jiangsu,downstream,南通市,1163.7136723869587,320685,0.503492619261926,32219,2020
320703,连云区,district,Jiangsu,downstream,连云港市,771.5167475157092,320703,0.3497617116322812,17013,2020
320706,海州区,district,Jiangsu,downstream,连云港市,731.335269316578,320706,0.4439272477424422,20376,2020
320707,赣榆区,district,Jiangsu,downstream,连云港市,1465.6183119141713,320707,0.4141368388223554,40080,2020
320722,东海县,district,Jiangsu,downstream,连云港市,2034.442477712832,320722,0.5073241441156301,56871,2020
320723,灌云县,district,Jiangsu,downstream,连云港市,1540.9345054932053,320723,0.4922947460768566,40465,2020
320724,灌南县,district,Jiangsu,downstream,连云港市,1036.8118451053438,320724,0.4839884235100247,29128,2020
320803,淮安区,district,Jiangsu,downstream,淮安市,1468.8906005772803,320803,0.5162112563596971,41079,2020
320804,淮阴区,district,Jiangsu,downstream,淮安市,1304.2315640307813,320804,0.5018589371980674,36018,2020
320812,清江浦区,district,Jiangsu,downstream,淮安市,434.9247840758055,320812,0.40087595401174175,12264,2020
320813,洪泽区,district,Jiangsu,downstream,淮安市,1287.2702355140539,320813,0.31662334662576697,32600,2020
320826,涟水县,district,Jiangsu,downstream,淮安市,1673.9733279768689,320826,0.5347578668036297,46728,2020
320830,盱眙县,district,Jiangsu,downstream,淮安市,2498.75580599758,320830,0.4323855383290266,69660,2020
320831,金湖县,district,Jiangsu,downstream,淮安市,1395.2002328971842,320831,0.3755777299609253,37876,2020
320902,亭湖区,district,Jiangsu,downstream,盐城市,1002.3686891991138,320902,0.47857915908198584,28017,2020
320903,盐都区,district,Jiangsu,downstream,盐城市,1049.8133044103502,320903,0.4653584229267957,29206,2020
320904,大丰区,district,Jiangsu,downstream,盐城市,2878.4565488275807,320904,0.4639442954290256,79261,2020
320921,响水县,district,Jiangsu,downstream,盐城市,1409.4500776222028,320921,0.48483846376811596,34500,2020
320922,滨海县,district,Jiangsu,downstream,盐城市,1965.500889433429,320922,0.5034131599023498,52432,2020
320923,阜宁县,district,Jiangsu,downstream,盐城市,1439.5754516156999,320923,0.5075615715850259,40176,2020
320924,射阳县,district,Jiangsu,downstream,盐城市,2576.5866684183775,320924,0.4839749436529873,70545,2020
320925,建湖县,district,Jiangsu,downstream,盐城市,1151.3803370439462,320925,0.5170418000744602,32232,2020
320981,东台市,district,Jiangsu,downstream,盐城市,2544.6539510166813,320981,0.5172560353404113,67345,2020
321002,广陵区,district,Jiangsu,downstream,扬州市,341.4026162526704,321002,0.38100255879001355,9653,2020
321003,邗江区,district,Jiangsu,downstream,扬州市,640.9169191281347,321003,0.3519740571105457,17685,2020
321012,江都区,district,Jiangsu,downstream,扬州市,1321.734634421912,321012,0.4893764682079366,37069,2020
321023,宝应县,district,Jiangsu,downstream,扬州市,1471.609224237928,321023,0.4920853627163072,41203,2020
321081,仪征市,district,Jiangsu,downstream,扬州市,902.0729486956375,321081,0.4261737069820981,25193,2020
321084,高邮市,district,Jiangsu,downstream,扬州市,1892.3586767242284,321084,0.39111890677867234,51426,2020
321102,京口区,district,Jiangsu,downstream,镇江市,345.04745151781736,321102,0.3421266589180051,9464,2020
321111,润州区,district,Jiangsu,downstream,镇江市,123.23421484166573,321111,0.363426837806301,3428,2020
321112,丹徒区,district,Jiangsu,downstream,镇江市,606.200278591219,321112,0.3933472327964859,17075,2020
321181,丹阳市,district,Jiangsu,downstream,镇江市,1048.9334707086562,321181,0.4438536060978945,29256,2020
321182,扬中市,district,Jiangsu,downstream,镇江市,320.4074770426876,321182,0.2855348584371461,8830,2020
321183,句容市,district,Jiangsu,downstream,镇江市,1382.2327725612574,321183,0.47878339628498995,38654,2020
321202,海陵区,district,Jiangsu,downstream,泰州市,387.96140922554656,321202,0.41104837398373983,10824,2020
321203,高港区,district,Jiangsu,downstream,泰州市,322.9791448215057,321203,0.4169111744966442,8940,2020
321204,姜堰区,district,Jiangsu,downstream,泰州市,861.1815363527528,321204,0.4872232774441108,23976,2020
321281,兴化市,district,Jiangsu,downstream,泰州市,2394.832370310123,321281,0.43606096075979517,67176,2020
321282,靖江市,district,Jiangsu,downstream,泰州市,651.0487483897664,321282,0.3856484998818804,16932,2020
321283,泰兴市,district,Jiangsu,downstream,泰州市,1175.6776743360113,321283,0.4660336330661138,32807,2020
321302,宿城区,district,Jiangsu,downstream,宿迁市,1019.8923780899019,321302,0.45791694345101114,28241,2020
321311,宿豫区,district,Jiangsu,downstream,宿迁市,1124.95695669411,321311,0.4375255575467941,30132,2020
321322,沭阳县,district,Jiangsu,downstream,宿迁市,2305.461586544088,321322,0.5301551666873603,64432,2020
