src,dst,drop_m,src_elev,dst_elev,cross_reach,cross_province
310101,310115,2.2391749147372164,5.178083061505842,2.9389081467686258,False,False
310104,310101,0.07447849266003459,5.252561554165877,5.178083061505842,False,False
310106,310101,0.7661586564425882,5.94424171794843,5.178083061505842,False,False
310109,310101,0.6874884162211519,5.865571477726994,5.178083061505842,False,False
310104,310112,0.5869638592912647,5.252561554165877,4.665597694874612,False,False
310104,310115,2.313653407397251,5.252561554165877,2.9389081467686258,False,False
310105,310104,0.6466713487399609,5.899232902905838,5.252561554165877,False,False
310106,310104,0.6916801637825536,5.94424171794843,5.252561554165877,False,False
310105,310112,1.2336352080312256,5.899232902905838,4.665597694874612,False,False
310105,310107,0.21217982720420547,5.899232902905838,5.687053075701632,False,False
310106,310105,0.04500881504259269,5.94424171794843,5.899232902905838,False,False
310105,310114,1.8209502139372882,5.899232902905838,4.0782826889685495,False,False
310106,310107,0.25718864224679816,5.94424171794843,5.687053075701632,False,False
310106,310109,0.07867024022143632,5.94424171794843,5.865571477726994,False,False
310106,310113,1.188925765728877,5.94424171794843,4.755315952219553,False,False
310107,310114,1.6087703867330827,5.687053075701632,4.0782826889685495,False,False
310107,310113,0.9317371234820788,5.687053075701632,4.755315952219553,False,False
310109,310115,2.9266633309583683,5.865571477726994,2.9389081467686258,False,False
310109,310110,0.9327139357933181,5.865571477726994,4.932857541933676,False,False
310109,310113,1.1102555255074407,5.865571477726994,4.755315952219553,False,False
310110,310115,1.9939493951650502,4.932857541933676,2.9389081467686258,False,False
310110,310113,0.1775415897141226,4.932857541933676,4.755315952219553,False,False
310112,310120,1.7680354854344742,4.665597694874612,2.897562209440138,False,False
310112,310117,1.290184083477433,4.665597694874612,3.375413611397179,False,False
310112,310118,1.8655863039636675,4.665597694874612,2.8000113909109445,False,False
310112,310115,1.7266895481059863,4.665597694874612,2.9389081467686258,False,False
310112,310114,0.5873150059060626,4.665597694874612,4.0782826889685495,False,False
310113,310115,1.8164078054509276,4.755315952219553,2.9389081467686258,False,False
310113,310114,0.6770332632510039,4.755315952219553,4.0782826889685495,False,False
310113,320585,1.9362258687168943,4.755315952219553,2.819090083502659,False,True
310114,310118,1.278271298057605,4.0782826889685495,2.8000113909109445,False,False
310114,320583,1.0391786833077585,4.0782826889685495,3.039104005660791,False,True
310114,320585,1.2591926054658904,4.0782826889685495,2.819090083502659,False,True
330922,310115,13.401890395260246,16.34079854202887,2.9389081467686258,False,True
310115,310120,0.0413459373284879,2.9389081467686258,2.897562209440138,False,False
330482,310116,0.525296446538968,3.353515082445552,2.828218635906584,False,True
310116,330421,0.22052601176349418,2.828218635906584,2.6076926241430898,False,True
310120,310116,0.06934357353355391,2.897562209440138,2.828218635906584,False,False
310117,310116,0.5471949754905951,3.375413611397179,2.828218635906584,False,False
310116,310118,0.028207244995639424,2.828218635906584,2.8000113909109445,False,False
310117,310120,0.47785140195704123,3.375413611397179,2.897562209440138,False,False
310117,310118,0.5754022204862346,3.375413611397179,2.8000113909109445,False,False
310118,330421,0.19231876676785475,2.8000113909109445,2.6076926241430898,False,True
310118,320509,0.3784829811735726,2.8000113909109445,2.421528409737372,False,True
320583,310118,0.23909261474984644,3.039104005660791,2.8000113909109445,False,True
320585,310151,0.8139795704384993,2.819090083502659,2.0051105130641598,False,True
320681,310151,0.28432430482576443,2.289434817889924,2.0051105130641598,False,True
320684,310151,1.5635505274126893,3.568661040476849,2.0051105130641598,False,True
320102,320106,34.12297866852029,51.49600720254056,17.37302853402027,False,False
320102,320115,19.797081936827425,51.49600720254056,31.698925265713136,False,False
320102,320104,39.56990598691674,51.49600720254056,11.926101215623826,False,False
320102,320113,34.41534160105948,51.49600720254056,17.080665601481083,False,False
320114,320104,10.571674898675452,22.497776114299278,11.926101215623826,False,False
320104,320105,5.190167914476904,11.926101215623826,6.735933301146922,False,False
320106,320104,5.446927318396446,17.37302853402027,11.926101215623826,False,False
320115,320104,19.772824050089312,31.698925265713136,11.926101215623826,False,False
320114,320105,15.761842813152356,22.497776114299278,6.735933301146922,False,False
320111,320105,21.104546073153553,27.840479374300475,6.735933301146922,False,False
320106,320105,10.63709523287335,17.37302853402027,6.735933301146922,False,False
320111,320106,10.467450840280204,27.840479374300475,17.37302853402027,False,False
320106,320113,0.2923629325391879,17.37302853402027,17.080665601481083,False,False
320111,320114,5.342703260001198,27.840479374300475,22.497776114299278,False,False
341124,320111,16.394804399953582,44.23528377425406,27.840479374300475,False,True
320115,320111,3.8584458914126607,31.698925265713136,27.840479374300475,False,False
320111,320113,10.759813772819392,27.840479374300475,17.080665601481083,False,False
320111,320116,4.495458790769558,27.840479374300475,23.345020583530918,False,False
320111,340523,6.995389662890766,27.840479374300475,20.84508971140971,False,True
341103,320111,40.55252815091127,68.39300752521174,27.840479374300475,False,True
341122,320111,14.887907184237601,42.72838655853808,27.840479374300475,False,True
320115,320113,14.618259664232053,31.698925265713136,17.080665601481083,False,False
321183,320113,27.043077671179237,44.12374327266032,17.080665601481083,False,False
321112,320113,4.125511466198098,21.20617706767918,17.080665601481083,False,False
320116,320113,6.264354982049834,23.345020583530918,17.080665601481083,False,False
321081,320113,6.167619862513266,23.24828546399435,17.080665601481083,False,False
320115,320114,9.201149151413858,31.698925265713136,22.497776114299278,False,False
320115,340506,6.991155757602829,31.698925265713136,24.707769508110307,False,True
320115,320117,3.7177663255260462,31.698925265713136,27.98115894018709,False,False
321183,320115,12.424818006947184,44.12374327266032,31.698925265713136,False,False
320115,340504,0.9090541470385851,31.698925265713136,30.78987111867455,False,True
340503,320115,1.8751752688003336,33.57410053451347,31.698925265713136,False,True
320115,340523,10.853835554303426,31.698925265713136,20.84508971140971,False,True
341122,320116,19.38336597500716,42.72838655853808,23.345020583530918,False,True
320116,321081,0.09673511953656799,23.345020583530918,23.24828546399435,False,False
320116,341181,1.907207486367895,23.345020583530918,21.437813097163023,False,True
320117,320118,14.222315042560323,27.98115894018709,13.758843897626766,False,False
320117,320481,1.044315427331103,27.98115894018709,26.936843512855987,False,False
320117,340506,3.273389432076783,27.98115894018709,24.707769508110307,False,True
321183,320117,16.14258433247323,44.12374327266032,27.98115894018709,False,False
341802,320118,66.92259917783974,80.6814430754665,13.758843897626766,False,True
341821,320118,28.279527149287432,42.0383710469142,13.758843897626766,False,True
320481,320118,13.17799961522922,26.936843512855987,13.758843897626766,False,False
340506,320118,10.94892561048354,24.707769508110307,13.758843897626766,False,True
320118,340521,4.636760642963242,13.758843897626766,9.122083254663524,False,True
320205,320214,0.575402883168838,5.606932248228687,5.031529365059849,False,False
320213,320205,2.5192292925096025,8.12616154073829,5.606932248228687,False,False
320205,320507,2.674063556868799,5.606932248228687,2.932868691359888,False,False
320205,320206,0.1263469417664922,5.606932248228687,5.480585306462195,False,False
320281,320205,0.91986660747326,6.526798855701947,5.606932248228687,False,False
320205,320581,1.33416146420387,5.606932248228687,4.272770784024817,False,False
320211,320206,3.040048919583195,8.52063422604539,5.480585306462195,False,False
320206,320412,0.5159332958583356,5.480585306462195,4.964652010603859,False,False
320213,320206,2.6455762342760947,8.12616154073829,5.480585306462195,False,False
320281,320206,1.0462135492397522,6.526798855701947,5.480585306462195,False,False
320282,320211,25.919151474044305,34.43978570008969,8.52063422604539,False,False
320211,320214,3.489104860985541,8.52063422604539,5.031529365059849,False,False
320211,320412,3.5559822154415306,8.52063422604539,4.964652010603859,False,False
320211,320213,0.39447268530710033,8.52063422604539,8.12616154073829,False,False
320211,320506,3.0547994028514056,8.52063422604539,5.465834823193984,False,False
320211,320505,1.0969462401538,8.52063422604539,7.42368798589159,False,False
320211,320507,5.587765534685502,8.52063422604539,2.932868691359888,False,False
320213,320214,3.0946321756784405,8.12616154073829,5.031529365059849,False,False
320214,320507,2.098660673699961,5.031529365059849,2.932868691359888,False,False
320281,320412,1.5621468450980878,6.526798855701947,4.964652010603859,False,False
320281,320402,1.3615319798313212,6.526798855701947,5.165266875870626,False,False
320281,320411,0.31656669732075216,6.526798855701947,6.210232158381195,False,False
320281,321282,2.887476115535017,6.526798855701947,3.63932274016693,False,False
320281,321283,1.397494586212753,6.526798855701947,5.129304269489194,False,False
320281,320581,2.25402807167713,6.526798855701947,4.272770784024817,False,False
320281,320582,2.916582681602142,6.526798855701947,3.610216174099805,False,False
341882,320282,99.36368594099196,133.80347164108164,34.43978570008969,False,True
330522,320282,40.13663506824317,74.57642076833287,34.43978570008969,False,True
320282,320481,7.502942187233707,34.43978570008969,26.936843512855987,False,False
