adcode,name_zh,province,reach,area_km2,karst_km2,karst_frac
320812,清江浦区,Jiangsu,downstream,434.9247840758055,0.0,0.0
320813,洪泽区,Jiangsu,downstream,1287.2702355140539,0.0,0.0
320826,涟水县,Jiangsu,downstream,1673.9733279768689,0.0,0.0
320830,盱眙县,Jiangsu,downstream,2498.75580599758,0.0,0.0
320831,金湖县,Jiangsu,downstream,1395.2002328971842,0.0,0.0
320902,亭湖区,Jiangsu,downstream,1002.3686891991138,0.0,0.0
320903,盐都区,Jiangsu,downstream,1049.8133044103502,0.0,0.0
320904,大丰区,Jiangsu,downstream,2878.4565488275807,0.0,0.0
320921,响水县,Jiangsu,downstream,1409.4500776222028,0.0,0.0
320922,滨海县,Jiangsu,downstream,1965.500889433429,0.0,0.0
320923,阜宁县,Jiangsu,downstream,1439.5754516156999,0.0,0.0
320924,射阳县,Jiangsu,downstream,2576.5866684183775,0.0,0.0
320925,建湖县,Jiangsu,downstream,1151.3803370439462,0.0,0.0
320981,东台市,Jiangsu,downstream,2544.6539510166813,0.0,0.0
321002,广陵区,Jiangsu,downstream,341.4026162526704,0.0,0.0
321003,邗江区,Jiangsu,downstream,640.9169191281347,0.0,0.0
321012,江都区,Jiangsu,downstream,1321.734634421912,0.0,0.0
321023,宝应县,Jiangsu,downstream,1471.609224237928,0.0,0.0
321081,仪征市,Jiangsu,downstream,902.0729486956375,0.0,0.0
321084,高邮市,Jiangsu,downstream,1892.3586767242284,0.0,0.0
321102,京口区,Jiangsu,downstream,345.04745151781736,0.0,0.0
321111,润州区,Jiangsu,downstream,123.23421484166573,0.0,0.0
321112,丹徒区,Jiangsu,downstream,606.200278591219,0.0,0.0
321181,丹阳市,Jiangsu,downstream,1048.9334707086562,0.0,0.0
321182,扬中市,Jiangsu,downstream,320.4074770426876,0.0,0.0
321183,句容市,Jiangsu,downstream,1382.2327725612574,34.71058147945377,0.02511196534223072
321202,海陵区,Jiangsu,downstream,387.96140922554656,0.0,0.0
321203,高港区,Jiangsu,downstream,322.9791448215057,0.0,0.0
321204,姜堰区,Jiangsu,downstream,861.1815363527528,0.0,0.0
321281,兴化市,Jiangsu,downstream,2394.832370310123,0.0,0.0
