adcode,year,ndvi_mean,ndvi_std,ndvi_max,ndvi_n,evi_mean,evi_std,evi_max,evi_n,lst_day_mean,lst_day_std,lst_day_max,lst_day_n,lst_night_mean,lst_night_std,lst_night_max,lst_night_n,npp_mean,npp_std,npp_max,npp_n,et_mean,et_std,et_max,et_n,name_zh,province,prefecture_zh,reach,area_km2,elev_mean,elev_std,elev_min,elev_max,relief,slope_mean,slope_std,slope_max,roughness,dem_n,kndvi_mean,lst_range,lst_day_c,lst_night_c
310101,2000,0.0886604347826086,0.0520444696956163,0.133491304347826,460,0.0464486956521739,0.0274306615660441,0.0695782608695652,460,298.611153358682,9.163052292415577,314.07565217391306,789,287.92782713085234,7.717682738443677,299.9478260869565,833,,,,,453.7750000000001,270.78475192484524,453.7750000000001,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.00786051079572829,10.683326227829639,25.461153358681997,14.777827130852359
310101,2001,0.0713440217391304,0.0537515001521652,0.1455478260869565,552,0.0377514492753623,0.0285093710388362,0.0745869565217391,552,295.4960446927374,10.19265183876979,312.22956521739127,895,286.13283314669656,8.591312608187947,300.1069565217391,893,0.083,0.0040999999999998,0.083,2.0,468.25,285.75147856135413,468.25,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.005089925481751169,9.363211546040873,22.34604469273745,12.982833146696578
310101,2002,0.0794072463768116,0.0580820189538112,0.1635869565217391,552,0.0419764492753623,0.0313725664175604,0.0910173913043478,552,296.4674500587545,10.383783997826988,313.1834782608695,851,287.8592746113989,7.819342238895556,300.02347826086947,965,0.0929,0.0116999999999999,0.0929,2.0,471.825,289.3516146058287,471.825,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.006305427210562559,8.608175447355563,23.317450058754503,14.70927461139894
310101,2003,0.0952077898550724,0.061485037305889,0.1565391304347826,552,0.0494155797101449,0.0330778168478144,0.0901478260869565,552,296.32795081967214,10.546475865327238,311.45478260869567,976,286.9890224032587,8.607278811279793,301.04869565217393,982,0.0941,0.0049999999999998,0.0941,2.0,462.65,280.150035695161,462.65,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.00906427499330489,9.338928416413466,23.177950819672162,13.839022403258696
310101,2004,0.0921679347826087,0.0642568045013163,0.1573391304347826,552,0.0477467391304347,0.0338884031222824,0.0929739130434782,552,296.1032860040569,9.974277615376073,310.93739130434784,986,288.58023369036016,7.989285470010003,301.08,1027,0.0912,0.0072999999999999,0.0912,2.0,393.15,210.1500118962643,393.15,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.00849472386587494,7.523052313696724,22.953286004056906,15.430233690360183
310101,2005,0.0955143115942029,0.0712888035314549,0.1620130434782608,552,0.052359420289855,0.0408711290108367,0.1012304347826086,552,296.99861713106293,11.450201351398276,313.31904761904764,969,287.34392315470177,9.625655513409027,302.7539130434783,989,0.101,0.0188,0.101,2.0,405.4500000000001,222.96453193277168,405.4500000000001,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.00912273062931397,9.654693976361159,23.84861713106295,14.193923154701793
310101,2006,0.0902192028985507,0.0596446730442294,0.1575173913043478,552,0.0475313405797101,0.031519565691666,0.0846565217391304,552,295.05273871983206,10.105779265159835,310.98260869565223,953,287.2900613496932,8.790555642472938,299.6678260869565,978,0.10465,0.01615,0.10465,2.0,454.4,271.9094150631788,454.4,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.008139324824856811,7.762677370138874,21.902738719832087,14.140061349693212
310101,2007,0.0888867753623188,0.0620642215519383,0.1674565217391304,552,0.0492686594202898,0.0335130330425357,0.0882347826086956,552,295.5551011714591,9.801306071566914,310.65304347826094,939,287.15168159203984,8.074634249720209,302.592,1005,0.1022,0.0064999999999999,0.1022,2.0,466.25,283.76018483924065,466.25,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.007900694438477183,8.403419579419278,22.405101171459137,14.001681592039859
310101,2008,0.0852561594202898,0.0640580267834942,0.1630478260869565,552,0.0480483695652174,0.0367390706052274,0.1036434782608695,552,296.2428364389234,9.818246114147186,311.64956521739134,966,286.9579587404994,8.6511253723978,300.9452173913043,921,0.11355,0.0041499999999998,0.11355,2.0,433.42500000000007,250.42919533273275,433.42500000000007,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.007268484714916488,9.284877698423998,23.092836438923428,13.80795874049943
310101,2009,0.086202536231884,0.0638600368396521,0.1610217391304347,552,0.0491208333333333,0.0359856103089214,0.1031478260869565,552,295.98695555555554,10.244228296851093,310.51826086956527,900,286.67713684210537,8.94043377095436,301.5373913043478,950,0.124,0.0036000000000001,0.124,2.0,410.3250000000001,227.94480006133057,410.3250000000001,4,黄浦区,Shanghai,,downstream,20.36624515276083,5.178083061505842,3.676491811753545,-0.1769249588251114,35.76102066040039,35.9379456192255,1.335739324969208,1.1792740816201162,11.008916854858398,0.7409241125773217,2774,0.007430740483260086,9.30981871345017,22.836955555555562,13.527136842105392
