epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,lr,seconds
1,0.2575461593337525,0.26272854374514687,0.5047526955604553,0.5117955207824707,0.39619460701942444,0.4038681387901306,0.6760311126708984,0.6856209635734558,0.0,3.3895692825317383
2,0.16797640435669545,0.2291838408758243,0.39420267939567566,0.47772037982940674,0.29869160056114197,0.3738096058368683,0.7982419729232788,0.7260898351669312,0.0004,3.4751925468444824
3,0.14592633527050267,0.1979986367126306,0.39858579635620117,0.44404757022857666,0.29633015394210815,0.3444555997848511,0.7866421341896057,0.7633428573608398,0.0008,3.3446028232574463
4,0.13342704996466637,0.17193031911220816,0.3594675660133362,0.41403859853744507,0.2729039788246155,0.31861743330955505,0.8357990384101868,0.7942488193511963,0.0012,3.6455790996551514
5,0.12308576474035228,0.15411863227685293,0.3645080327987671,0.3919208347797394,0.275719553232193,0.29989516735076904,0.8319476842880249,0.8156439661979675,0.0016,3.493199348449707
6,0.11673113938283038,0.14145082442296875,0.3400706350803375,0.37574589252471924,0.2580667734146118,0.2855544686317444,0.8528306484222412,0.830547034740448,0.002,3.4154350757598877
7,0.10389156553393869,0.13394091919892365,0.31382063031196594,0.3657626509666443,0.23675020039081573,0.2769341468811035,0.8747449517250061,0.839431881904602,0.0019983691039261358,3.399136543273926
8,0.08941921285457081,0.12891409090823597,0.28679800033569336,0.3589724600315094,0.21987700462341309,0.2717146575450897,0.8934074640274048,0.8453382253646851,0.0019934817353485504,3.4145243167877197
9,0.08772181562971378,0.1260645269519753,0.29222047328948975,0.35508960485458374,0.22265341877937317,0.2690257132053375,0.8900737762451172,0.8486660122871399,0.001985353835847693,3.561434030532837
10,0.081274441436485,0.12531321640643808,0.2775234580039978,0.354215532541275,0.21106719970703125,0.26857325434684753,0.9026672840118408,0.8494101166725159,0.0019740119169423336,3.3731112480163574
11,0.07351338961263643,0.1250648388846053,0.2666134834289551,0.3537653088569641,0.2016770988702774,0.26880502700805664,0.909610390663147,0.8497926592826843,0.0019594929736144974,3.488213062286377
12,0.07036654284154928,0.1253428506768412,0.26259374618530273,0.3540680408477783,0.19724547863006592,0.26963895559310913,0.910995602607727,0.8495354652404785,0.0019418443636395248,3.4899234771728516
13,0.06388764314191497,0.1263463923500644,0.24815687537193298,0.3555840849876404,0.18751458823680878,0.27132630348205566,0.9240100383758545,0.8482441902160645,0.0019211236531148502,3.4826040267944336
14,0.06313202701669803,0.1274832578168975,0.24931970238685608,0.3572213351726532,0.1885443925857544,0.2728655934333801,0.9211346507072449,0.8468434810638428,0.0018973984286913585,3.561009645462036
15,0.05716400708762004,0.12865604480935466,0.23150965571403503,0.35891371965408325,0.17534908652305603,0.2745857834815979,0.9321032762527466,0.8453888893127441,0.0018707460771197773,3.51986026763916
16,0.05749230360170063,0.1298286873433325,0.23776742815971375,0.3605112135410309,0.17960013449192047,0.2760500907897949,0.9285730123519897,0.8440094590187073,0.0018412535328311812,3.594409704208374
17,0.053216657149331534,0.13078341798649895,0.2267240583896637,0.36192891001701355,0.1730949729681015,0.27712392807006836,0.9343957901000977,0.8427802324295044,0.0018090169943749475,3.381037950515747
18,0.050826049892462956,0.13209204582704437,0.2268640697002411,0.36380302906036377,0.17246735095977783,0.2788624167442322,0.933997392654419,0.841147780418396,0.0017741416106390826,3.4334800243377686
19,0.04676114523670438,0.13338771855665577,0.21629098057746887,0.365548700094223,0.16283734142780304,0.28054341673851013,0.9382829666137695,0.8396196365356445,0.001736741137876405,3.296232223510742
20,0.045353625287060384,0.13488024825023281,0.20258022844791412,0.36768200993537903,0.15555188059806824,0.28245264291763306,0.9459372162818909,0.837742269039154,0.0016969375686552938,3.469467878341675
21,0.04357056754330794,0.13608087557885382,0.20309391617774963,0.369344025850296,0.1546953171491623,0.28394949436187744,0.9490129351615906,0.8362720608711243,0.0016548607339452852,3.49308443069458
22,0.04396501498935867,0.13702014854384792,0.21121098101139069,0.37063470482826233,0.16142317652702332,0.28504037857055664,0.9419909715652466,0.835125744342804,0.0016106478796354383,3.4416418075561523
23,0.04129417364796003,0.1382393367174599,0.20386429131031036,0.3722462058067322,0.1563672125339508,0.2864528298377991,0.9457646608352661,0.8336889147758484,0.0015644432188667695,3.438169479370117
24,0.039681803474438865,0.14007092557019657,0.19518883526325226,0.3747415542602539,0.14895163476467133,0.28872057795524597,0.9518188238143921,0.8314517140388489,0.001516397461638962,3.6207828521728516
25,0.03794863250562184,0.1416493078900708,0.1940801590681076,0.37690603733062744,0.14726997911930084,0.2906757891178131,0.9520044326782227,0.8294990062713623,0.0014666673232256737,3.523679494857788
26,0.037452186702897676,0.14279776480462816,0.19478589296340942,0.37847980856895447,0.14881901443004608,0.2920743227005005,0.9515050649642944,0.828072190284729,0.0014154150130018866,3.3302371501922607
