epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,lr,seconds
1,0.3914652651264554,0.5290493534670936,0.6272181272506714,0.7271512746810913,0.48210757970809937,0.5636192560195923,0.49645090103149414,0.3653852343559265,0.001,0.4940781593322754
2,0.234198788801829,0.27103135155306923,0.48395463824272156,0.5213245749473572,0.3740633428096771,0.4117628037929535,0.7002122402191162,0.6738051772117615,0.001,0.492830753326416
3,0.20438866601103828,0.24535417391194236,0.4511028826236725,0.49765241146087646,0.3495056927204132,0.3847377300262451,0.7395311594009399,0.7027561664581299,0.001,0.4835665225982666
4,0.1902002411938849,0.23732024927934012,0.4349173903465271,0.49072107672691345,0.3368614614009857,0.38438326120376587,0.7578868865966797,0.7109785676002502,0.001,0.5004775524139404
5,0.17217318642707097,0.25302796562512714,0.41413867473602295,0.5049248933792114,0.32057854533195496,0.3916673958301544,0.7804688811302185,0.6940051317214966,0.001,0.4981653690338135
6,0.16229802760339918,0.19724159604973263,0.4028862714767456,0.446175217628479,0.31152042746543884,0.34573715925216675,0.792236328125,0.7610695362091064,0.001,0.4946284294128418
7,0.15463406592607498,0.21862806545363533,0.3923281133174896,0.4700171649456024,0.30363813042640686,0.3641461730003357,0.8029831051826477,0.7348521947860718,0.001,0.5027754306793213
8,0.1460711391908782,0.22291386789745754,0.38262122869491577,0.4745556116104126,0.29587623476982117,0.36568552255630493,0.8126115798950195,0.7297070026397705,0.001,0.504896879196167
9,0.14119048327917144,0.1928225060304006,0.37601667642593384,0.44187626242637634,0.2909386456012726,0.34215185046195984,0.819024920463562,0.7656515836715698,0.001,0.48244524002075195
10,0.13971965706774167,0.217237232459916,0.37387314438819885,0.46909013390541077,0.28899455070495605,0.3665018379688263,0.821082353591919,0.7358970642089844,0.001,0.48249030113220215
11,0.13403947332075664,0.20329869124624464,0.36560219526290894,0.45418888330459595,0.2827606201171875,0.35391515493392944,0.8289109468460083,0.7524096965789795,0.001,0.47926926612854004
12,0.1326834492030598,0.20401227474212646,0.36450397968292236,0.4548710286617279,0.2823198437690735,0.35354816913604736,0.829937219619751,0.7516654133796692,0.001,0.4785923957824707
13,0.12406113264816147,0.19840755396419102,0.3519333600997925,0.44906702637672424,0.2716774046421051,0.3479483425617218,0.8414649367332458,0.7579622864723206,0.001,0.47512125968933105
14,0.12001194787167367,0.2037924693690406,0.3461650311946869,0.4539365768432617,0.26717609167099,0.3513381779193878,0.846619188785553,0.7526847124099731,0.001,0.48021888732910156
15,0.11035857686684244,0.2052069670624203,0.33157607913017273,0.45587700605392456,0.25517627596855164,0.3543753921985626,0.8592751026153564,0.750565767288208,0.0005,0.4834578037261963
16,0.1086450389453343,0.18765261438157824,0.32941070199012756,0.4355824589729309,0.2536448836326599,0.3381974697113037,0.8611071109771729,0.7722798585891724,0.0005,0.4745595455169678
17,0.10332868957803362,0.2015127655532625,0.3214482367038727,0.4515233039855957,0.24783548712730408,0.3517942428588867,0.8677405714988708,0.7553073167800903,0.0005,0.48030805587768555
18,0.10191428643606958,0.18988247878021663,0.3192904591560364,0.437549889087677,0.24545112252235413,0.342524915933609,0.8695102334022522,0.7702181339263916,0.0005,0.47069764137268066
19,0.10186008576835905,0.18695658445358276,0.3189145624637604,0.43361398577690125,0.24543187022209167,0.33564209938049316,0.8698172569274902,0.7743334174156189,0.0005,0.47786569595336914
20,0.10066282234731175,0.2040877557463116,0.3172474801540375,0.45379507541656494,0.2444753795862198,0.35331809520721436,0.8711748123168945,0.7528388500213623,0.0005,0.47214818000793457
21,0.09718907819617362,0.19633068475458357,0.3117067515850067,0.4462607800960541,0.23981240391731262,0.34809017181396484,0.8756353259086609,0.7609778642654419,0.0005,0.47783470153808594
22,0.09797331300519761,0.19736034009191725,0.31340304017066956,0.4463452994823456,0.24140341579914093,0.3472559154033661,0.8742780685424805,0.7608873248100281,0.0005,0.47257137298583984
23,0.09673536604359037,0.19182410836219788,0.3108871579170227,0.4399002194404602,0.23909807205200195,0.3411698341369629,0.8762884736061096,0.7677428722381592,0.0005,0.480304479598999
24,0.09403207844921521,0.21011281344625685,0.30682244896888733,0.4609202742576599,0.23626966774463654,0.3584608733654022,0.8795022368431091,0.7450163960456848,0.0005,0.47825193405151367
25,0.09231673252014887,0.19848517742421892,0.3034977316856384,0.44767436385154724,0.23359879851341248,0.3496220111846924,0.8820995688438416,0.7594612240791321,0.00025,0.47348880767822266
26,0.08886739753541492,0.19246924585766262,0.29814526438713074,0.44076409935951233,0.22908544540405273,0.34368279576301575,0.8862214088439941,0.766829788684845,0.00025,0.4748268127441406
27,0.08758717225421042,0.1891208224826389,0.2958607077598572,0.43644291162490845,0.2273453027009964,0.33989694714546204,0.8879584074020386,0.7713793516159058,0.00025,0.48029327392578125
28,0.08688495574252945,0.19208741850323147,0.2947828769683838,0.4404011368751526,0.22651661932468414,0.34296590089797974,0.8887732625007629,0.7672136425971985,0.00025,0.4774320125579834
29,0.08655814808749017,0.19748079611195457,0.29445403814315796,0.44663673639297485,0.22626003623008728,0.3479848802089691,0.8890212774276733,0.760574996471405,0.00025,0.48090291023254395
