epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,lr,seconds
1,0.2308839699782348,0.16591269675767772,0.44806379079818726,0.381209135055542,0.32892751693725586,0.2943214178085327,0.7430288791656494,0.8255836367607117,0.001,6.883657932281494
2,0.11659017421914808,0.16772057865297682,0.32799214124679565,0.39454343914985657,0.2508704364299774,0.3036057651042938,0.8623007535934448,0.8131684064865112,0.001,6.818896770477295
3,0.09894449918768422,0.1666874909386489,0.30520033836364746,0.3968730866909027,0.23344551026821136,0.30599457025527954,0.8807730078697205,0.8109555244445801,0.001,6.598874807357788
4,0.08811859320001537,0.15402522390350598,0.28897982835769653,0.3827464282512665,0.2211659550666809,0.29669857025146484,0.8931093811988831,0.8241740465164185,0.001,6.814501762390137
5,0.08014969506442937,0.16313357431803124,0.2759084701538086,0.3959640860557556,0.21116074919700623,0.30523020029067993,0.9025605916976929,0.8118205070495605,0.001,6.780901193618774
6,0.07372449656964515,0.16466474631198738,0.2647520899772644,0.3986489176750183,0.2025345414876938,0.3086163103580475,0.910281240940094,0.8092600107192993,0.001,6.842756509780884
7,0.06857486601854873,0.1611273128914039,0.2554091811180115,0.3947388827800751,0.1952384114265442,0.304752379655838,0.9165017008781433,0.8129832744598389,0.001,6.745477199554443
8,0.06430618200802281,0.18596267189778096,0.24740959703922272,0.425605446100235,0.18922044336795807,0.32875728607177734,0.921650230884552,0.7825922966003418,0.001,6.7616376876831055
9,0.060894302999049243,0.1722353695936366,0.240820974111557,0.40953129529953003,0.18427284061908722,0.31345364451408386,0.9257676601409912,0.7987041473388672,0.001,6.636126279830933
10,0.055879586810801005,0.17178090139256694,0.23052330315113068,0.40913787484169006,0.17653806507587433,0.31439414620399475,0.9319803714752197,0.7990907430648804,0.0005,6.769837379455566
11,0.05445111773747497,0.16478055641582642,0.22758790850639343,0.4007863998413086,0.17412427067756653,0.3091132938861847,0.9337016344070435,0.8072090744972229,0.0005,6.735885143280029
