H,n_windows,SeasonalNaive_R2,TrailingPersistence_R2,frac_variance_between_county
1,36,0.5942164063453674,0.45139163732528687,0.4945271396848881
2,35,0.7775489091873169,0.42384302616119385,0.5888760876404842
3,34,0.8434694409370422,0.3030083179473877,0.6519639118043337
4,33,0.8696582913398743,0.1578894853591919,0.6998007123188945
6,31,0.9000734686851501,0.20469790697097778,0.7937424120903892
12,25,0.9346146583557129,0.9346146583557129,0.9787659694834349
