epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,lr,seconds
1,0.14540393290634196,0.22054609568438543,0.3813186585903168,0.4696233570575714,0.2819822132587433,0.37002435326576233,0.8138852715492249,0.7352963089942932,0.001,31.055134057998657
2,0.07751761171679751,0.2130575745741152,0.2784198224544525,0.46158161759376526,0.21187686920166016,0.3643925189971924,0.9007787108421326,0.7442841529846191,0.001,30.82471513748169
3,0.062019131277771804,0.15563850527741177,0.24903640151023865,0.3945104479789734,0.18939334154129028,0.30358877778053284,0.9206165075302124,0.8131996393203735,0.001,31.029247283935547
4,0.05380525880996218,0.18631885099685905,0.23195961117744446,0.4316466748714447,0.17661742866039276,0.33620309829711914,0.9311301112174988,0.776376485824585,0.001,31.036736965179443
5,0.04749509648245218,0.213133488126204,0.21793369948863983,0.4616638422012329,0.16592304408550262,0.35961461067199707,0.9392070174217224,0.7441930770874023,0.001,31.051342248916626
6,0.042609814282069974,0.19666348927362,0.20642143487930298,0.44346755743026733,0.15709452331066132,0.34143468737602234,0.9454601407051086,0.7639606595039368,0.001,31.169581651687622
7,0.03915326852966237,0.17975335855460953,0.1978718340396881,0.42397329211235046,0.1506347507238388,0.32732874155044556,0.9498844146728516,0.7842565178871155,0.001,30.764960289001465
8,0.03680595762905776,0.18524748258204204,0.1918487846851349,0.43040385842323303,0.1462094634771347,0.3290397524833679,0.9528889656066895,0.7776623964309692,0.001,31.128823041915894
9,0.032258355586279396,0.18931594603162896,0.1796061247587204,0.43510451912879944,0.13650807738304138,0.33306944370269775,0.9587098360061646,0.7727793455123901,0.0005,30.645484924316406
10,0.031135897493383687,0.20002740724775078,0.17645366489887238,0.44724422693252563,0.13428543508052826,0.3432072699069977,0.9601465463638306,0.7599232196807861,0.0005,31.007925748825073
11,0.03004272643836462,0.19094436406558823,0.17332836985588074,0.4369718134403229,0.13189908862113953,0.334154337644577,0.9615457653999329,0.7708248496055603,0.0005,30.893758058547974
12,0.029190524130902458,0.20026746407398774,0.17085234820842743,0.44751253724098206,0.13014723360538483,0.3454492390155792,0.9626365900039673,0.7596350908279419,0.0005,30.99803328514099
13,0.028451261907882986,0.1863485674929592,0.1686750203371048,0.4316810965538025,0.12850803136825562,0.33224087953567505,0.9635828137397766,0.7763408422470093,0.0005,30.79935908317566
