epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,lr,seconds
1,0.26197465895710137,0.2722797418634097,0.49917224049568176,0.5114684700965881,0.38940930366516113,0.39640745520591736,0.6831550002098083,0.6860226392745972,0.0,3.419921636581421
2,0.1747875058629217,0.23718223741485012,0.38939911127090454,0.4769272208213806,0.29607608914375305,0.36827942728996277,0.8031290769577026,0.7269985675811768,0.0004,3.759986162185669
3,0.15288013197592834,0.20612275414168835,0.38979899883270264,0.44505366683006287,0.2930775284767151,0.34211286902427673,0.7959453463554382,0.7622692584991455,0.0008,3.4631636142730713
4,0.14440513227848298,0.1797623700565762,0.37077564001083374,0.4161202013492584,0.2814004123210907,0.31825295090675354,0.8253057599067688,0.7921748161315918,0.0012,3.7602334022521973
5,0.13053971843587028,0.16043738462030888,0.3728400468826294,0.39329662919044495,0.2808186411857605,0.29903876781463623,0.8241771459579468,0.8143473863601685,0.0016,3.536579132080078
6,0.12428420646874994,0.14761458213130632,0.34090086817741394,0.37758010625839233,0.25792360305786133,0.2854442596435547,0.8521111607551575,0.8288886547088623,0.002,3.582416296005249
7,0.11126392554324954,0.14191567794316345,0.320416122674942,0.370752215385437,0.2433982491493225,0.2798965871334076,0.8694247007369995,0.8350211977958679,0.0019983691039261358,3.4733076095581055
8,0.09799464648520505,0.1396733803881539,0.29134485125541687,0.3686155676841736,0.22271814942359924,0.278536856174469,0.8900008797645569,0.8369172811508179,0.0019934817353485504,3.540806531906128
9,0.09287758673662724,0.1377426315512922,0.3020845949649811,0.36657536029815674,0.2304903119802475,0.277099072933197,0.882527232170105,0.838717520236969,0.001985353835847693,3.7340476512908936
10,0.08577970735452793,0.1370907626632187,0.2812323272228241,0.3660701513290405,0.21362043917179108,0.2769429087638855,0.9000483155250549,0.83916175365448,0.0019740119169423336,3.500124931335449
11,0.08221309368301483,0.13662684046559864,0.27498963475227356,0.36547842621803284,0.20756253600120544,0.27676457166671753,0.9038416743278503,0.8396813273429871,0.0019594929736144974,3.552785634994507
12,0.0748974988857905,0.136191232336892,0.2626098394393921,0.36480480432510376,0.19679349660873413,0.27651044726371765,0.9109846949577332,0.8402717113494873,0.0019418443636395248,3.5588464736938477
13,0.0690765287997066,0.13664919531179798,0.25271254777908325,0.3654235601425171,0.1900252252817154,0.27739718556404114,0.9211943745613098,0.8397294282913208,0.0019211236531148502,3.677513599395752
14,0.06987925921734288,0.1368248404728042,0.2538321912288666,0.36572152376174927,0.19315607845783234,0.27765801548957825,0.918254017829895,0.8394680023193359,0.0018973984286913585,3.6279702186584473
15,0.0648526471885417,0.13816800506578553,0.23920273780822754,0.367605596780777,0.18204046785831451,0.27939334511756897,0.9275158643722534,0.837809681892395,0.0018707460771197773,3.6316025257110596
16,0.061675137940713824,0.1388195043222772,0.23584146797657013,0.3685339093208313,0.17935839295387268,0.2801830768585205,0.9297255277633667,0.8369895219802856,0.0018412535328311812,3.7830870151519775
17,0.05785616862532847,0.13882054885228476,0.22892270982265472,0.36850401759147644,0.1755707859992981,0.2799982726573944,0.9331172108650208,0.8370159268379211,0.0018090169943749475,3.577951669692993
18,0.05565027495587829,0.13884823790027034,0.23088353872299194,0.3685499429702759,0.17492905259132385,0.2801525294780731,0.9316378235816956,0.8369753360748291,0.0017741416106390826,3.601804494857788
19,0.054771530625382155,0.1388651794857449,0.2290651947259903,0.3684346079826355,0.17310500144958496,0.280402809381485,0.9307776689529419,0.8370773792266846,0.001736741137876405,3.5440282821655273
20,0.05164183149183238,0.13924230490293768,0.21309205889701843,0.3690575063228607,0.16297483444213867,0.28083673119544983,0.9401810169219971,0.8365259766578674,0.0016969375686552938,3.5438506603240967
21,0.049134905800979206,0.1393057174152798,0.20909525454044342,0.3690836727619171,0.1590881645679474,0.28107163310050964,0.9459550976753235,0.8365027904510498,0.0016548607339452852,3.5788207054138184
22,0.048512652258042,0.1394437671535545,0.21916671097278595,0.36914995312690735,0.1664227694272995,0.2812296748161316,0.9375386238098145,0.836444079875946,0.0016106478796354383,3.543020486831665
23,0.047857798649757,0.14014728532897103,0.21189260482788086,0.3700132668018341,0.16214601695537567,0.28215932846069336,0.9414089322090149,0.835678219795227,0.0015644432188667695,3.586794853210449
24,0.0441202668499359,0.14109581481251451,0.19974353909492493,0.37120896577835083,0.15219737589359283,0.2833400070667267,0.9495440125465393,0.8346144556999207,0.001516397461638962,3.748420476913452
25,0.042276083364439526,0.14190700008637375,0.198130264878273,0.3723910450935364,0.15072330832481384,0.28433313965797424,0.9499803781509399,0.8335594534873962,0.0014666673232256737,3.624547243118286
26,0.041726882926615555,0.14262966501216093,0.1964564323425293,0.37335917353630066,0.14976365864276886,0.28520113229751587,0.9506697058677673,0.8326929211616516,0.0014154150130018866,3.496654510498047
27,0.040998435586139005,0.14367839280101988,0.19423642754554749,0.3747718334197998,0.14737632870674133,0.28636181354522705,0.9525831341743469,0.8314244747161865,0.001362807705350641,3.60886812210083
